Name,Trade,Phone,WhatsApp,Category,SearchArea,Address,Reviews,Priority,HasWebsiteOnMaps,Status,Notes
Wap plumbing services,Plumbing,+256755384347,https://wa.me/256755384347,Plumbing supply store,Kampala,Old Butabika Rd,0,Low,no,Not contacted,
Brizzy plumbing company,Plumbing,+256757195824,https://wa.me/256757195824,Plumber,Kampala,,0,Low,no,Not contacted,
Atuhwere Plumbers Ltd,Plumbing,+256789557576,https://wa.me/256789557576,Plumber,Kampala,,0,Low,no,Not contacted,
Loyal plumbers Entebbe in,Plumbing,+256760385384,https://wa.me/256760385384,Plumber,Entebbe,Kampla Entebbe,0,Low,no,Not contacted,
JIMTEX MASTER PLUMBERS & BIO DIGESTER ENTEBBE,Plumbing,+256756034059,https://wa.me/256756034059,Plumber,Entebbe,Kabale Road,0,Low,no,Not contacted,
M & N PLUMBERS,Plumbing,+256706815515,https://wa.me/256706815515,Plumber,Entebbe,0000,0,Low,no,Not contacted,
Chap city plumbing solutions,Plumbing,+256756293282,https://wa.me/256756293282,Plumber,Entebbe,Lunnyo,0,Low,no,Not contacted,
Jvt expert plumbers,Plumbing,+256746314996,https://wa.me/256746314996,Engineering consultant,Entebbe,3F6F+X4W,0,Low,no,Not contacted,
SmartLink infrastructure and utilities,Plumbing,+256766051267,https://wa.me/256766051267,Plumber,Entebbe,Lulongo buwaya Katabi,0,Low,no,Not contacted,
Patrick plumbing solutions,Plumbing,+256703648473,https://wa.me/256703648473,Plumbing supply store,Entebbe,Busambaga Rd,0,Low,no,Not contacted,
Plop Plumbing Services,Plumbing,+256708137223,https://wa.me/256708137223,Plumber,Entebbe,,0,Low,no,Not contacted,
ARTEMIS WORKS UG LTD,Plumbing,+256772504301,https://wa.me/256772504301,Plumbing supply store,Entebbe,,0,Low,no,Not contacted,
MJ CONSTRUCTION COMPANY,Plumbing,+256756639088,https://wa.me/256756639088,Construction company,Entebbe,Nkumba,0,Low,no,Not contacted,
Ssenyonyi Graceline Construction Ltd,Plumbing,+256751500791,https://wa.me/256751500791,Construction company,Entebbe,Entebbe Division B,0,Low,no,Not contacted,
Misanvu Constructions & Works,Plumbing,+256759377292,https://wa.me/256759377292,Plumber,Entebbe,,0,Low,no,Not contacted,
Smith Construction Consultancy Agency,Plumbing,+256700304212,https://wa.me/256700304212,Construction company,Entebbe,"Nkumba, Kasenyi Road",0,Low,no,Not contacted,
KAREVER PLUMBERS,Plumbing,+256752176664,https://wa.me/256752176664,Plumbing supply store,Entebbe,Bwerenga Rd,0,Low,no,Not contacted,
Jab Concepts Ltd,Plumbing,+256772054064,https://wa.me/256772054064,Construction company,Entebbe,Kampala Road,0,Low,no,Not contacted,
Tile fixers Entebbe,Plumbing,+256755022242,https://wa.me/256755022242,Plumber,Entebbe,,0,Low,no,Not contacted,
Ssozi construction and plumbing company ltd,Plumbing,+256789161721,https://wa.me/256789161721,Construction company,Entebbe,Kawuku Entebbe road,0,Low,no,Not contacted,
LUKANGA PLUMBING SERVICES,Plumbing,+256703414494,https://wa.me/256703414494,Plumber,Entebbe,Entebbe Rd - Kawuku - Nakawuka Rd,0,Low,no,Not contacted,
Trust plumbing service center,Plumbing,+256705719437,https://wa.me/256705719437,Hardware store,Jinja,"Jinja, Iganga, Kaliro",0,Low,no,Not contacted,
Tonka Construction Company Limited,Plumbing,+256752501512,https://wa.me/256752501512,Construction company,Jinja,"C6M7+R28, Main St",0,Low,no,Not contacted,
UgaFIX,Plumbing,+256756355785,https://wa.me/256756355785,Plumber,Jinja,,0,Low,no,Not contacted,
PLUMBERS ARENA,Plumbing,+256753119807,https://wa.me/256753119807,Plumbing supply store,Jinja,"Mukono, Jinja road seeta",0,Low,no,Not contacted,
Sj classy plumbers,Plumbing,+256759597946,https://wa.me/256759597946,Plumber,Jinja,,0,Low,no,Not contacted,
Erycom Plumbing Services,Plumbing,+256787853377,https://wa.me/256787853377,Plumbing supply store,Jinja,,0,Low,no,Not contacted,
Lule Ronald (plumbing services),Plumbing,+256782342014,https://wa.me/256782342014,Social services organization,Jinja,,0,Low,no,Not contacted,
WB CONSTRUCTION AND FINISHING SERVICES,Plumbing,+256774843383,https://wa.me/256774843383,Plumber,Jinja,,0,Low,no,Not contacted,
PLUMBER'S JOY STORE,Plumbing,+256772508657,https://wa.me/256772508657,Home builder,Jinja,central ring road,0,Low,no,Not contacted,
Finest Plumbing Store,Plumbing,+256702727574,https://wa.me/256702727574,Store,Jinja,8H8J+3JH,0,Low,no,Not contacted,
MULTI STAR PLUMBERS,Plumbing,+256701809065,https://wa.me/256701809065,Plumbing supply store,Jinja,"9PF6+8CG, Bukerere Rd",0,Low,no,Not contacted,
Quality plumbers Kampala Uganda,Plumbing,+256760703005,https://wa.me/256760703005,Plumbing supply store,Jinja,"9JV6+576, Kungu Road",0,Low,no,Not contacted,
24HOURS PLUMBING,Plumbing,+256775192751,https://wa.me/256775192751,Plumber,Jinja,,0,Low,no,Not contacted,
PrimeLine Plumbing,Plumbing,+256790897090,https://wa.me/256790897090,Plumbing supply store,Jinja,"Namugongo, 25625",0,Low,no,Not contacted,
Smart Choice Plumber,Plumbing,+256759427714,https://wa.me/256759427714,Plumber,Jinja,"Kakoola, Ndejje Rd",0,Low,no,Not contacted,
Fs plumbing services,Plumbing,+256781885696,https://wa.me/256781885696,Plumber,Jinja,,0,Low,no,Not contacted,
Mubra Plumbing Solutions Ltd,Plumbing,+256753156261,https://wa.me/256753156261,Plumber,Jinja,,0,Low,no,Not contacted,
Palca plumbing shop,Plumbing,+256780141635,https://wa.me/256780141635,Plumbing supply store,Gulu,Bank Ln,0,Low,no,Not contacted,
PATEK BER TRADERS,Plumbing,+256779938116,https://wa.me/256779938116,Plumbing supply store,Gulu,queens avenue,0,Low,no,Not contacted,
Ediart creative solution,Plumbing,+256755695600,https://wa.me/256755695600,Construction company,Gulu,Acholi Rd,0,Low,no,Not contacted,
Quantum Infrastructure Consultants,Plumbing,+256773929101,https://wa.me/256773929101,Plumber,Gulu,,0,Low,no,Not contacted,
F & J PLUMBERS UGANDA LTD,Plumbing,+256770303317,https://wa.me/256770303317,Civil engineering company,Mbarara,Bucunku Road,0,Low,no,Not contacted,
William plumbing tools,Plumbing,+256775064022,https://wa.me/256775064022,Water treatment supplier,Mbarara,Central street,0,Low,no,Not contacted,
Quality Plumbing Shop,Plumbing,+256704238268,https://wa.me/256704238268,Plumber,Mbarara,,0,Low,no,Not contacted,
Perez Excel Plumbing Shop and Services,Plumbing,+256789531815,https://wa.me/256789531815,Plumbing supply store,Mbarara,Kiyanja Kamukuzi Division,0,Low,no,Not contacted,
BUM PLUMBING & WATER SYSTEMS Co. (U) Ltd,Plumbing,+256771690927,https://wa.me/256771690927,Corporate office,Mbarara,Pilkington Road,0,Low,no,Not contacted,
PIUSTIC CONSTRUCTION AND COMPOUND DESIGNERS,Plumbing,+256776408470,https://wa.me/256776408470,Construction company,Mbarara,Ankole and surrounding regions,0,Low,no,Not contacted,
Mutaho civil and electrical engineering company ltd,Plumbing,+256772582608,https://wa.me/256772582608,Construction company,Mbarara,"Adit building, Mbarara - Masaka Rd",0,Low,no,Not contacted,
Tushak Technical Services Ltd,Plumbing,+256775001924,https://wa.me/256775001924,Construction company,Mbarara,"NYAMITANGA DIVISION, KATETE",0,Low,no,Not contacted,
"Modern ceramics, Tiles & plumbing outlet",Plumbing,+256784130953,https://wa.me/256784130953,Plumber,Mbarara,,0,Low,no,Not contacted,
Genesis Plumbing SOLNS,Plumbing,+256707092448,https://wa.me/256707092448,Plumber,Mbarara,,0,Low,no,Not contacted,
Shafik plumbing services kyegegwa,Plumbing,+256777135251,https://wa.me/256777135251,Plumbing supply store,Fort Portal,Kyegegwa,0,Low,no,Not contacted,
O' GUZI PLUMBING SOLUTIONS,Plumbing,+256786685628,https://wa.me/256786685628,Consultant,Lira,"LORO, Oyam Rd",0,Low,no,Not contacted,
BOKES PLUMBING HARDWARE,Plumbing,+256772292610,https://wa.me/256772292610,Plumbing supply store,Lira,Plot 24 Aroma Lane,0,Low,no,Not contacted,
EBERAH,Plumbing,+256786990972,https://wa.me/256786990972,Handyman,Lira,Kirimbe north B,0,Low,no,Not contacted,
Sovy Engineering works,Plumbing,+256774620255,https://wa.me/256774620255,Plumber,Lira,,0,Low,no,Not contacted,
mass plumbing and tiles hardware lira,Plumbing,+256777882507,https://wa.me/256777882507,Plumbing supply store,Lira,Olwol Rd,0,Low,no,Not contacted,
EGONGA PLUMBING SOLUTIONS- IGANGA,Plumbing,+256759776500,https://wa.me/256759776500,Plumber,Iganga,"IGANGA- NAKALAMA, VIA TIRINYI ROAD",0,Low,no,Not contacted,
Sight two business link,Plumbing,+256752584861,https://wa.me/256752584861,Plumber,Iganga,,0,Low,no,Not contacted,
EZEK CONTRACTORS LIMITED,Plumbing,+256785250276,https://wa.me/256785250276,Construction company,Tororo,"Osukuru along, Busia - Tororo",0,Low,no,Not contacted,
Innovation plumbing shop,Plumbing,+256786772166,https://wa.me/256786772166,Plumber,Soroti,"Opposite police barracks, old bus park",0,Low,no,Not contacted,
WATER TECH PLUMBING CONTRACTORS,Plumbing,+256781469952,https://wa.me/256781469952,Plumbing supply store,Soroti,Soroti- Dokolo Road,0,Low,no,Not contacted,
MAC'DONALDS HARDWARES,Plumbing,+256786593152,https://wa.me/256786593152,Plumbing supply store,Soroti,Popatlal road Solot avenue,0,Low,no,Not contacted,
JIM-TECH ENGINEERS' LTD,Plumbing,+256785984304,https://wa.me/256785984304,Construction company,Soroti,market,0,Low,no,Not contacted,
Sunsilk Ltd,Plumbing,+256757614014,https://wa.me/256757614014,Hardware store,Jinja,42 Oboja Rd,62,High,yes,Not contacted,
Elisa Urban Works ltd,Plumbing,+256776542114,https://wa.me/256776542114,Plumber,Kampala,Luwum St,49,High,yes,Not contacted,
Shukuran Plumbers Uganda Limited,Plumbing,+256701007500,https://wa.me/256701007500,Plumbing supply store,Kampala,"Nakivubo Trading Centre Building, Allen road, and Nakivubo Rd",43,High,yes,Not contacted,
Veepo Plumbing Solutions co.Ltd,Plumbing,+256755198429,https://wa.me/256755198429,Plumber,Kampala,,37,High,yes,Not contacted,
Plaza Plumbing Suppliers Ltd,Plumbing,+256772671727,https://wa.me/256772671727,Building materials supplier,Kampala,"GR Plaza, Industrial Area Sixth Street",37,High,yes,Not contacted,
HAGA WATER LIMITED,Plumbing,+256780498580,https://wa.me/256780498580,Plumber,Kampala,"spot complex, kasangati",33,High,yes,Not contacted,
Dmkw Company,Plumbing,+256783158385,https://wa.me/256783158385,Housing cooperative,Mukono,Ssonde Rd,33,High,yes,Not contacted,
Propel Construction & General Supplies Ltd,Plumbing,+256786330612,https://wa.me/256786330612,Construction company,Gulu,Odida Road,23,High,yes,Not contacted,
Kizito Plumbing Solutions,Plumbing,+256709498519,https://wa.me/256709498519,Plumber,Jinja,Salaama Rd,19,Medium,yes,Not contacted,
Kampala Plumber and Construction,Plumbing,+256709262264,https://wa.me/256709262264,Plumber,Kampala,,15,Medium,yes,Not contacted,
Hydro Concepts Uganda Limited,Plumbing,+256705973161,https://wa.me/256705973161,Drainage service,Kampala,Kulpoint company Uganda limited,14,Medium,yes,Not contacted,
Divo Plumbing Services,Plumbing,+256742832654,https://wa.me/256742832654,Plumber,Kampala,,12,Medium,yes,Not contacted,
TURSH WATERTECH UGANDA LTD,Plumbing,+256700852115,https://wa.me/256700852115,Plumber,Kampala,,9,Medium,yes,Not contacted,
KJ PLUMBING SOLUTION,Plumbing,+256705063078,https://wa.me/256705063078,Plumber,Kampala,,9,Medium,yes,Not contacted,
STELGAN ENGINEERING SOLUTION CO.LTD,Plumbing,+256778857786,https://wa.me/256778857786,Engineer,Entebbe,KAMPALA ENTEBBE ROAD,9,Medium,yes,Not contacted,
UNIQUE PLUMBERS UGANDA LTD,Plumbing,+256701897176,https://wa.me/256701897176,Construction company,Kampala,"Hass fuel station, Nalukolongo Opposite",6,Medium,yes,Not contacted,
NestCraft Construction,Plumbing,+256700870000,https://wa.me/256700870000,Construction company,Mbarara,"RUCSA Plaza, Mbarara - Masaka Rd",6,Medium,yes,Not contacted,
S AND J PLUMBERS UG LTD,Plumbing,+256704239784,https://wa.me/256704239784,Plumber,Kampala,"Luzira old, Port Bell Rd",5,Medium,yes,Not contacted,
PLENCO PLUMBING AND ENGINEERING COMPANY,Plumbing,+256751503292,https://wa.me/256751503292,Plumber,Jinja,"8HH6+QG8, kiwunya Rd",5,Medium,yes,Not contacted,
Mocak General Hardware,Plumbing,+256701284661,https://wa.me/256701284661,Plumbing supply store,Mbarara,Makhan Singh Street,5,Medium,yes,Not contacted,
VIBRANT PLUMBER'S U LTD,Plumbing,+256781668997,https://wa.me/256781668997,Plumber,Kampala,"market, Market St",2,Low,yes,Not contacted,
BATABAIRE CONSTRUCTIONS JINJA,Plumbing,+256756352289,https://wa.me/256756352289,Construction company,Jinja,complex,2,Low,yes,Not contacted,
Santana Construction Uganda,Plumbing,+256784403136,https://wa.me/256784403136,Construction company,Jinja,Wakoli Road,2,Low,yes,Not contacted,
Raphael plumber,Plumbing,+256753121414,https://wa.me/256753121414,Plumber,Kampala,Nakawa,1,Low,yes,Not contacted,
Drainteck Plumbers Limited,Plumbing,+256703910258,https://wa.me/256703910258,Home help service agency,Kampala,plot 23B Robert Mugabe Rd,1,Low,yes,Not contacted,
ForYou plumbing contractors,Plumbing,+256758919593,https://wa.me/256758919593,Plumber,Kampala,Gayaza -Kampala Rd,1,Low,yes,Not contacted,
G7 PLUMBING EXPERTS,Plumbing,+256773996497,https://wa.me/256773996497,Plumber,Kampala,,1,Low,yes,Not contacted,
Yesu Afayo Contractors Company,Plumbing,+256787918248,https://wa.me/256787918248,Construction company,Entebbe,Entebbe,1,Low,yes,Not contacted,
SUNDEX PLUMBING SOLUTIONS U LTD,Plumbing,+256709739812,https://wa.me/256709739812,Plumbing supply store,Jinja,Zaid Complex Arua Park,1,Low,yes,Not contacted,
Blessed plumbers located in nakawuka,Plumbing,+256789603354,https://wa.me/256789603354,Plumber,Jinja,Nakawuka,1,Low,yes,Not contacted,
Avant-Garde Distributors Mbarara,Plumbing,+256752626513,https://wa.me/256752626513,Water pump supplier,Mbarara,"Mackansighn Street, Plot 7/9",1,Low,yes,Not contacted,
Avant-Garde Distributors Arua,Plumbing,+256752627456,https://wa.me/256752627456,Water pump supplier,Arua,"Arua Central Market, Main Entrance Shop No: 1",1,Low,yes,Not contacted,
Kakulu Plumbers office,Plumbing,+256776972585,https://wa.me/256776972585,Plumber,Kampala,9JHG+8QQ,0,Low,yes,Not contacted,
Elly Chfy Plumbers,Plumbing,+256726464327,https://wa.me/256726464327,Plumber,Entebbe,,0,Low,yes,Not contacted,
KANGE SERVICES LTD,Plumbing,+256769058951,https://wa.me/256769058951,Construction company,Entebbe,Katabi Town Council,0,Low,yes,Not contacted,
DEMBA BROADWAY CONTRACTORS,Plumbing,+256772622677,https://wa.me/256772622677,Construction company,Entebbe,Busambaga Rd,0,Low,yes,Not contacted,
CMTengineersHUB,Plumbing,+256758070203,https://wa.me/256758070203,Plumber,Jinja,,0,Low,yes,Not contacted,
Benalfa Engineering Services Limited,Plumbing,+256774087057,https://wa.me/256774087057,Plumber,Jinja,,0,Low,yes,Not contacted,
Avant-Garde Distributors Jinja,Plumbing,+256750980631,https://wa.me/256750980631,Water pump supplier,Jinja,Napier road Opposite JCB Plaza,0,Low,yes,Not contacted,
SKL CONSTRUCTIONS LTD,Plumbing,+256707127651,https://wa.me/256707127651,Construction company,Jinja,Kampala - Jinja Hwy,0,Low,yes,Not contacted,
EDITH AND SONS HARDWARE SOLUTIONS,Plumbing,+256730578563,https://wa.me/256730578563,Plumber,Jinja,,0,Low,yes,Not contacted,
MEDIWA GENERAL HOLDINGS LIMITED,Plumbing,+256785191280,https://wa.me/256785191280,Construction company,Gulu,Pece Laroo Division,0,Low,yes,Not contacted,
Avant-Garde Distributors Gulu,Plumbing,+256752626375,https://wa.me/256752626375,Water pump supplier,Gulu,Awich road Opposite Main Bus Park,0,Low,yes,Not contacted,
DUSMAN CONTRACTORS,Plumbing,+256788688512,https://wa.me/256788688512,Construction company,Mbarara,Mbarara - Masaka Rd,0,Low,yes,Not contacted,
Akatare Jenga Stores Ltd,Plumbing,+256781922138,https://wa.me/256781922138,Construction material wholesaler,Mbarara,Kabale - Mbarara Rd,0,Low,yes,Not contacted,
Arua Biodigesters,Plumbing,+256794706171,https://wa.me/256794706171,Plumber,Arua,,0,Low,yes,Not contacted,
