Name,Phone,Email,Company,LineType,CanWhatsApp,Segment,Category,Area,Address,Reviews,Priority,WebCheck,PhoneLocal,MapsUrl,Status,Notes
Alaka & Co. Advocates,+256414673787,,Law firm · Kampala,landline,no,Consultancy / Professional services,Law firm,Kampala,"Lower Kololo Terrace Road, Plot 1-3 Coral Cres",4,Low,Confirmed,041 4673787,https://www.google.com/maps/search/Alaka+%26+Co.+Advocates+Lower+Kololo+Terrace+Road%2C+Plot+1-3+Coral+Cres+Kampala+Uganda,Not called,
Goldrock & Partners,+256772774455,,Accounting firm · Kampala,mobile,yes,Consultancy / Professional services,Accounting firm,Kampala,Plot9 Kampala Road,2,Low,Confirmed,0772 774455,https://www.google.com/maps/search/Goldrock+%26+Partners+Plot9+Kampala+Road+Kampala+Uganda,Not called,
Byabakama Kwemda & Associates,+256414342258,,Auditor · Kampala,landline,no,Consultancy / Professional services,Auditor,Kampala,Plot66 William St,2,Low,Confirmed,041 4342258,https://www.google.com/maps/search/Byabakama+Kwemda+%26+Associates+Plot66+William+St+Kampala+Uganda,Not called,
M/S Nshimye and Co Advocates,+256782956618,,Law firm · Kampala,mobile,yes,Consultancy / Professional services,Law firm,Kampala,"Impala House 6th Floor Rm 4&5, Kimathi Ave",2,Low,Confirmed,0782 956618,https://www.google.com/maps/search/M%2FS+Nshimye+and+Co+Advocates+Impala+House+6th+Floor+Rm+4%265%2C+Kimathi+Ave+Kampala+Uganda,Not called,
Josh Tax & Consulting Services,+256771654553,,Tax consultant · Ntinda / Nakawa,mobile,yes,Consultancy / Professional services,Tax consultant,Ntinda / Nakawa,Ntinda Business Village,2,Low,Confirmed,0771 654553,https://www.google.com/maps/search/Josh+Tax+%26+Consulting+Services+Ntinda+Business+Village+Kampala+Uganda,Not called,
Stalworth Consulting Group LLC,+256414220879,,Business management consultant · Kampala,landline,no,Consultancy / Professional services,Business management consultant,Kampala,"7 Lourdel Road, Nakasero Hill Rd",1,Low,Confirmed,041 4220879,https://www.google.com/maps/search/Stalworth+Consulting+Group+LLC+7+Lourdel+Road%2C+Nakasero+Hill+Rd+Kampala+Uganda,Not called,
Sespo waks consults & Accountants,+256700100763,,Accounting firm · Kampala,mobile,yes,Consultancy / Professional services,Accounting firm,Kampala,"Karl Max Building, Bombo Rd",1,Low,Confirmed,0700 100763,https://www.google.com/maps/search/Sespo+waks+consults+%26+Accountants+Karl+Max+Building%2C+Bombo+Rd+Kampala+Uganda,Not called,
CHUCKLE & CO. Certified Public Accountants,+256772660094,,Accounting firm · Kampala,mobile,yes,Consultancy / Professional services,Accounting firm,Kampala,Kampala Road Green Land Tower 4th floor Rm 4FO1A,1,Low,Confirmed,0772 660094,https://www.google.com/maps/search/CHUCKLE+%26+CO.+Certified+Public+Accountants+Kampala+Road+Green+Land+Tower+4th+floor+Rm+4FO1A+Kampala+Uganda,Not called,
RONYE ASSOCIATES,+256702764531,,Auditor · Kampala,mobile,yes,Consultancy / Professional services,Auditor,Kampala,"Plot 1846. Bukoto Kisasi, Nakkazi- Ssali Ln",1,Low,Confirmed,0702 764531,https://www.google.com/maps/search/RONYE+ASSOCIATES+Plot+1846.+Bukoto+Kisasi%2C+Nakkazi-+Ssali+Ln+Kampala+Uganda,Not called,
Unison Associates Limited,+256700723379,,Bookkeeping service · Kampala,mobile,yes,Consultancy / Professional services,Bookkeeping service,Kampala,"Mabirizi City Plaza, Ben Kiwanuka Rd",1,Low,Confirmed,0700 723379,https://www.google.com/maps/search/Unison+Associates+Limited+Mabirizi+City+Plaza%2C+Ben+Kiwanuka+Rd+Kampala+Uganda,Not called,
MTC Associates Ltd.,+256312261462,,Accounting · Kampala,landline,no,Consultancy / Professional services,Accounting,Kampala,"27962, Kampala Plot Clement Hill Rd",1,Low,Confirmed,031 2261462,https://www.google.com/maps/search/MTC+Associates+Ltd.+27962%2C+Kampala+Plot+Clement+Hill+Rd+Kampala+Uganda,Not called,
Jasper - Semu & Associates,+256414231577,,Accountant · Kampala,landline,no,Consultancy / Professional services,Accountant,Kampala,P.O.Box 8294 Nasser Rd,1,Low,Confirmed,041 4231577,https://www.google.com/maps/search/Jasper+-+Semu+%26+Associates+P.O.Box+8294+Nasser+Rd+Kampala+Uganda,Not called,
Netsoft CONSULTING services PVT Ltd,+256754425491,,Corporate office · Ntinda / Nakawa,mobile,yes,Consultancy / Professional services,Corporate office,Ntinda / Nakawa,17 Martyrs' Way,1,Low,Confirmed,0754 425491,https://www.google.com/maps/search/Netsoft+CONSULTING+services+PVT+Ltd+17+Martyrs%27+Way+Kampala+Uganda,Not called,
Connect Pro Uganda (Blue Elephant Services),+256756413758,,Consultant · Ntinda / Nakawa,mobile,yes,Consultancy / Professional services,Consultant,Ntinda / Nakawa,,1,Low,Confirmed,0756 413758,https://www.google.com/maps/search/Connect+Pro+Uganda+%28Blue+Elephant+Services%29++Kampala+Uganda,Not called,
Exodus Kampala CPA,+256752645284,,Financial audit · Kampala,mobile,yes,Consultancy / Professional services,Financial audit,Kampala,8HW9+56X,0,Low,Confirmed,0752 645284,https://www.google.com/maps/search/Exodus+Kampala+CPA+8HW9%2B56X+Kampala+Uganda,Not called,
"Acco. Accountants, Auditors & Tax Consultants",+256312272645,,Auditor · Kampala,landline,no,Consultancy / Professional services,Auditor,Kampala,Plot12 William St,0,Low,Confirmed,031 2272645,https://www.google.com/maps/search/Acco.+Accountants%2C+Auditors+%26+Tax+Consultants+Plot12+William+St+Kampala+Uganda,Not called,
Kampala Expats Immigration Guide,+256792232942,,Consultant · Kampala,mobile,yes,Consultancy / Professional services,Consultant,Kampala,Plot 46,0,Low,Confirmed,0792 232942,https://www.google.com/maps/search/Kampala+Expats+Immigration+Guide+Plot+46+Kampala+Uganda,Not called,
Visa immigration advocacy agents,+256785305105,,Tour agency · Kampala,mobile,yes,Consultancy / Professional services,Tour agency,Kampala,,0,Low,Confirmed,0785 305105,https://www.google.com/maps/search/Visa+immigration+advocacy+agents++Kampala+Uganda,Not called,
St. Joseph Catholic Church.,+256752640721,,Catholic church · Nansana,mobile,yes,Church / Place of worship,Catholic church,Nansana,9G8H+29Q,198,High,Confirmed,0752 640721,https://www.google.com/maps/search/St.+Joseph+Catholic+Church.+9G8H%2B29Q+Kampala+Uganda,Not called,
Life Victory Church - Nansana,+256701638789,,Religious organization · Nansana,mobile,yes,Church / Place of worship,Religious organization,Nansana,"Off Nansana Police Station, Kampala - Hoima Rd",40,High,Confirmed,0701 638789,https://www.google.com/maps/search/Life+Victory+Church+-+Nansana+Off+Nansana+Police+Station%2C+Kampala+-+Hoima+Rd+Kampala+Uganda,Not called,
Christ the King Pentecostal Church Nansana,+256772594230,,Pentecostal church · Nansana,mobile,yes,Church / Place of worship,Pentecostal church,Nansana,"9G7C+X8Q, Kampala-Hoima",11,Medium,Confirmed,0772 594230,https://www.google.com/maps/search/Christ+the+King+Pentecostal+Church+Nansana+9G7C%2BX8Q%2C+Kampala-Hoima+Kampala+Uganda,Not called,
Nansana Church of Uganda,+256775764513,,Educational institution · Nansana,mobile,yes,Church / Place of worship,Educational institution,Nansana,,8,Medium,Confirmed,0775 764513,https://www.google.com/maps/search/Nansana+Church+of+Uganda++Kampala+Uganda,Not called,
School Of Management And Entrepreneurship (Some),+256414285659,,Management school · Kawempe,landline,no,School / Education,Management school,Kawempe,,8,Medium,Check first,041 4285659,https://www.google.com/maps/search/School+Of+Management+And+Entrepreneurship+%28Some%29++Kampala+Uganda,Not called,
Victory Primary School,+256770761253,,Education center · Kawempe,mobile,yes,School / Education,Education center,Kawempe,,5,Medium,Check first,0770 761253,https://www.google.com/maps/search/Victory+Primary+School++Kampala+Uganda,Not called,
Taibah High School,+256755200028,,High school · Kawempe,mobile,yes,School / Education,High school,Kawempe,Ttula Rd,0,Low,Check first,0755 200028,https://www.google.com/maps/search/Taibah+High+School+Ttula+Rd+Kampala+Uganda,Not called,
